16 Aug 2018,NTUC FP - PSA SINGAPORE 065,S$5.65
17 Aug 2018,GRAB *1107458-4-014,S$11.00
17 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
17 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
17 Aug 2018,UNITY BY FAIRPRICE - A SINGAPORE 065,S$5.50
17 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
17 Aug 2018,GRAB *1107458-4-011,S$13.95
18 Aug 2018,OTOKO RAMEN,S$18.70
18 Aug 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
19 Aug 2018,MARUTAMA RAMEN SINGAPORE 065,S$22.35
19 Aug 2018,HEAL SPA,S$288.00
19 Aug 2018,OLDTOWN WHITE COFFEE - SINGAPORE 065,S$18.60
19 Aug 2018,VENDING BY SMARTRETAIL,S$5.50
20 Aug 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$43.95
20 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
20 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
21 Aug 2018,WHOLLY GREENS PTE LTD,S$6.90
23 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
23 Aug 2018,GRAB *1107458-4-015,S$16.70
23 Aug 2018,WHOLLY GREENS PTE LTD,S$7.50
24 Aug 2018,NTUC FP - PSA SINGAPORE 065,S$9.60
24 Aug 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
24 Aug 2018,GRAB *1107458-4-017,S$16.05
24 Aug 2018,WHOLLY GREENS PTE LTD,S$7.50
24 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
25 Aug 2018,GRAB *1107458-4-018,S$11.50
25 Aug 2018,MEIDI-YA SINGAPORE,S$10.90
26 Aug 2018,GRAB *1107458-4-019,S$12.50
26 Aug 2018,UNIQLO ORCHARD CENTRAL,S$29.80
26 Aug 2018,UNIQLO ORCHARD CENTRAL,S$129.70
26 Aug 2018,POPEYES - SOMERSET SINGAPORE 065,S$5.70
26 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
27 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
27 Aug 2018,NTUC FP - PSA SINGAPORE 065,S$25.35
27 Aug 2018,NTUC FP-SQUARE 2 SINGAPORE 065,S$34.95
27 Aug 2018,WHOLLY GREENS PTE LTD,S$7.50
28 Aug 2018,WHOLLY GREENS PTE LTD,S$7.50
28 Aug 2018,NTUC FP - PSA SINGAPORE 065,S$7.90
28 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
29 Aug 2018,WHOLLY GREENS PTE LTD,S$2.20
30 Aug 2018,GRAB *1107458-4-020,S$17.51
30 Aug 2018,WHOLLY GREENS PTE LTD,S$7.50
30 Aug 2018,GRAB *1107458-4-021,S$14.25
30 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
